Puzzle,Solution
000370060000021090000000801609000000010006000700100000000560002506200910090700003,951378264874621395362945871629457138415836729783192546137569482546283917298714653
607200400001000350080100000200400000000008510800070003702000005460000008000000200,637295481921864357584137962216453879379628514845971623792386145463512798158749236
005030009062000500084000760000392070000875000000000000070080090000000020030706800,715638249962147583384529761156392478493875612827461935571284396648953127239716854
036000000400000980890700106008000540003600000040000007000000003300060875060009000,236918754471356982895742136618273549753694218942185367184527693329461875567839421
000070030053009800100000095000780000080901050006000000600003000038620001910000000,869574132453219876172368495541786329287931654396452718624193587738625941915847263
030000040020860900086509013000000320000200065001000000000300806003080090090002500,935721648124863957786549213867954321349218765251637489412395876573486192698172534
070000040000020009000005623005030006400100030900000500300000400050760002000900000,572396841638421759149875623715234986486159237923687514397512468854763192261948375
000230000000180000016000000980004015002050004000000309360000800000500000000960001,497235168235186497816497523983674215172359684654812379369741852741528936528963741
700203060050800200013000078005007020060000700100530000007009000000360000301052000,748213569956874213213695478435987621869421735172536984687149352524368197391752846
006001004050400000900000570001090200620000400000000000009860005080940601005020009,236751984857439162914682573471396258623518497598274316149863725782945631365127849
375001420004000103000000000000004000007500040000390008090003200400087000001240900,375861429864729153219435867183674592927518346546392718698153274452987631731246985
005700060000000089000684000800590006003800000500042070024005000000000200700000400,185729364246351789937684521872593146413867952569142873324975618651438297798216435
305400000002310000040070001050040000020000000803000007900008250000200070004700308,315469782782315649649872531156947823427183965893526417971638254538294176264751398
000000600000005000000009410010300090800020000069400805000800540024090000308600001,182743659943165782576289413417358296835926174269417835691832547724591368358674921
700100500003072100000009040000040000038005020000001000900030014070000003050094700,749186532563472198812359647625943871138765429497821365986537214274618953351294786
005310694090000008000060000048500900030120000000000835000600402000003500000450080,285317694697245318314869257748536921539128746162974835853691472421783569976452183
900700000001049000000030002030900007009000000067813094000000700000080063003002041,926751438381249675745638912834926157219475386567813294158364729492187563673592841
000009870000005000720100060810000020005090100046020000050040781000600502000000000,531269874469785213728134965813457629275396148946821357652943781194678532387512496
008006057023000010700000600000700000130420005004000802801000764000000200000060001,498216357623579418715384629289753146136428975574691832851932764967145283342867591
060000000300080100720400500000016070000000200008705300040002600003000000607000805,864251937359687142721493586532916478976348251418725369145872693283569714697134825
900000600000309082002060040650403700047020005800007000008500000300000068000000000,984275613716349582532861947659483721147926835823157496468532179395714268271698354
060000105002700004090160327901000000034600000000290400070000000300900500010030000,763429185182753964495168327921384756834675291657291438579842613348916572216537849
080000459305000800000000000070080000900310000053047180000000675700560010001030000,286173459315294867497856231174682593928315746653947182839421675742569318561738924
009200400080005270107008053700000000001000000000800030050009100300047080000520040,569273418483165279127498653735912864841736592296854731654389127312647985978521346
200507000000000030040000165006304018150200004300050600010000040000105000000400700,263517489591846237847923165726394518159268374384751692915672843478135926632489751
090025001850040090000908020901000000500801000037000002010000000200304010000000007,793625841852143796146978523981237465524861379637459182319786254275394618468512937
059006100708000060004000000000010000005340080370000000090050800600800470000030000,259476138738195264164283759846512397925347681371968542497651823613829475582734916
051600000000700560200003800080102700007000030020004100000208001006500000030000000,751689243348721569269453817683192754417865932925374186574238691196547328832916475
000007000610000004000439500730500600000000012000096700000000000000051497000324050,495167283613285974827439561738512649569743812241896735154978326382651497976324158
200500093000090000000007000090060800005240000004300060600730050040000207503000000,287516493456893721139427685392165874765248319814379562621734958948651237573982146
050004607000000350920000000000600000000035760000008245000090400200006080800007503,351284697468971352927563814745629138182435769639718245513892476274356981896147523
020005006600070300001800002800010000050300000076000019090708000000500200003000000,927135486684972351531846972842619735159387624376254819295768143418593267763421598
000000000380000060012000300024300000000100700807094000040230007003701409200600010,796813254385472961412956378124367895539128746867594132941235687653781429278649513
004300950000007000007200830900000006003904700000020003006050020000070600042030008,624318957831597462597246831975183246213964785468725193786451329359872614142639578
000705800270081400051400900004000173000000050000070200005000341000008000040000002,493725816276981435851436927964852173327194658518673294785269341132548769649317582
000006900050000000089001200000000100001209080900060702007080350060003807010900000,374526918152798463689341275526874139741239586938165742497682351265413897813957624
009007402047000098080000010500100000020080000700004005000500820092000001430000000,159867432247351698386942517568123749924785163713694285671539824892476351435218976
000500030070200094000000268065000070004000020000090400000009000008006307053004600,429568731876231594531947268965412873314875926782693415647389152298156347153724689
